ID,Name,Incident Type,Status,Severity,Summary,Incident Manager,Reporter,Comms Lead,IM SLT,Tech Lead,Impacted Platform,Impacted Client(s),Resolution (Fix) ,Impact ,Fault Responsibility,Zoom Meeting Link,VoucherEngine Component,Root Cause Analysis Summary,Repeat Incident,Monitoring,Detection & Triage,Investigation & Resolution,Client Communication,Affected services,Environment Type,Post-Mortem Document,Created At,Reported at,Accepted at,Declined at,Merged at,Canceled at,Resolved at,Impact started at,Identified at,Fixed at,Documented at,Reviewed at,Closed at,Incident duration,Updated At,Creator Alert ID,Visibility,Workload Total (minutes),Workload In Working Hours (minutes),Workload In Late Hours (minutes),Workload In Sleeping Hours (minutes),Channel name,Channel link,Source,Opted out of post-incident flow
18,"API calls  - Customers are not able to access the service like card details, balance, and others",Service Incident,Closed,P1,"Customers are not able to access the service like card details, balance, and others",Snothile Dlamini,Vicnesh Baskar,,,,VoucherEngine,Vodacom Tanzania,Unknown (fix implemented by client),"Customers are not able to access the service like card details, balance, and others",,,,,,,,,,,,,2024-12-18T05:34:44.546Z,2024-12-18T05:34:44.546Z,,,,,2024-12-18T11:37:12.854Z,2024-12-17T12:40:00.000Z,2024-12-18T11:37:12.854Z,,,,2024-12-18T11:37:12.854Z,21748,2024-12-18T11:37:13.035Z,,public,219.7,207.6,0,12.1,18dec-p1-critical-18-api-calls-customers-are-not-able-to-access-the-service,https://slack.com/app_redirect?team=T03SMJWS8&channel=C085HLCDV5K,Reported by Vicnesh Baskar,false
24,No Transactions processing for C24,Service Incident,Closed,P1,No actions taken by PTY. Issue to be investigated with Pulsant and MC,Snothile Dlamini,Snothile Dlamini,,,,Banking.Live,"C24, Gnosis, Coverflex",,,TBD,,,,,,,,,,,,2024-12-19T12:23:35.135Z,2024-12-19T12:23:35.135Z,,,,,2024-12-19T13:21:24.307Z,2024-12-19T12:11:00.000Z,2024-12-19T12:39:13.986Z,2024-12-19T13:21:24.307Z,,,2024-12-19T13:21:24.307Z,3469,2024-12-19T13:50:33.255Z,,public,733.2,537.9,165.4,30,19dec-p1-critical-24-no-transactions-processing-for-c24,https://slack.com/app_redirect?team=T03SMJWS8&channel=C085UAXT3FD,Reported by Snothile Dlamini,false
27,Intermittent transaction timeout,Service Incident,Closed,P2,"AS to further investigate the 09 second delay in Rule Engine, causing the timeouts. ",Snothile Dlamini,Snothile Dlamini,,,,Banking.Live,"Nomo Bank, Utility Warehouse",None,BB2: 12 failed transactions 87 successful transactions UWH 115 failed transactions 792 successful transactions,,,,,,,,,,,,,2024-12-20T12:58:36.418Z,2024-12-20T10:30:00.000Z,,,,,2024-12-20T10:30:00.000Z,2024-12-20T10:27:00.000Z,2024-12-20T10:30:00.000Z,,,,2024-12-20T10:59:00.000Z,,2024-12-20T13:01:48.570Z,,public,86.3,68.7,17.6,0,20dec-p2-high-27-intermittent-transaction-timeout,https://slack.com/app_redirect?team=T03SMJWS8&channel=C0860F503K5,Reported by Snothile Dlamini,false
28,Partial Outage on Transaction Processing for UW,Service Incident,Closed,P2,"There was a brief interruption to transaction processing (partial outage) from 10:31 UTC to 10:32 UTC on 24th Dec. 60 failed transactions / 150 successful transactions. Issue resolved itself, no action taken by any support team.  Currently transactions are processing as expected with no issues. AS team is investigating further to identify the root cause of the issue, suspected it is related to rules engine taking longer than normal. Monitoring ongoing. ",Kaisar Mahmood,Kaisar Mahmood,,,,Banking.Live,Utility Warehouse,No Action taken by any support team. Issue resolved itself.,Partial Outage on Transaction Processing  ,Paymentology,,,,,,,,,,,,2024-12-24T11:27:58.898Z,2024-12-24T11:27:58.898Z,,,,,2024-12-24T11:30:35.237Z,2024-12-24T02:31:00.000Z,2024-12-24T11:30:35.237Z,,,,2024-12-24T11:30:35.237Z,156,2024-12-24T11:30:35.468Z,,public,96.3,54.7,41.6,0,24dec-p2-high-28-partial-outage-on-transaction-processing-for-uw,https://slack.com/app_redirect?team=T03SMJWS8&channel=C086AA66MKP,Reported by Kaisar Mahmood,false
29,Partial Outage of Transaction Processing for D360 ,Service Incident,Closed,P1,Marking the incident as closed. Issue was resolved on 5th Jan. Incident Report (IR) and RCA Report (RCAR) have already been shared with the client.,Kaisar Mahmood,Kaisar Mahmood,,,,Banking.Live,D360,Final fix implementation to restore service was completed at 14:55 UTC on 5th January. Problematic DNS server name entries were removed from system configurations on the Primary and Secondary PayPower application servers.,D360 has been observing a partial outage on transaction processing since 29th Dec 2024. We have not hit processing SLA since 29th Dec. Specially from 12:45 AM UTC 3rd Jan to 10:25 AM UTC 3rd Jan we have received 13495 (1200 - MADA transaction). In that 107 transaction are identified as impacted.,Paymentology,,,,,,,,,,,,2025-01-03T10:52:16.705Z,2025-01-03T10:52:16.705Z,,,,,2025-01-10T12:25:49.748Z,2024-12-28T16:00:00.000Z,2025-01-10T12:25:49.748Z,,,,2025-01-10T12:25:49.748Z,610413,2025-01-10T12:25:49.905Z,,public,4462.1,3235.2,710.6,516.2,03jan-p1-critical-29-partial-outage-of-transaction-processing-for-d360,https://slack.com/app_redirect?team=T03SMJWS8&channel=C0878GVS4AG,Reported by Kaisar Mahmood,false
33,SH02 Timeout due to a rule engine delay.,Service Incident,Closed,P3 - Critical,"16-second timeout caused by a rule engine delay between 13:51:00 and 13:51:16 UTC. The clients affected included UW (14 transactions) and BB2 (3 transactions), and the overall impact exceeded 30%, prompting escalation to P1 priority. The root cause is suspected to be related to database contention or background jobs affecting the rule engine's performance. While the issue resolved itself during the initial outage, an investigation is ongoing to determine the exact cause.",Snothile Dlamini,Snothile Dlamini,,,,,"Utility Warehouse, Nomo Bank",None,,Paymentology,,,,,,,,,,,,2025-01-10T08:24:04.731Z,2025-01-09T11:51:00.000Z,,,,,2025-01-09T11:51:00.000Z,2025-01-09T11:51:00.000Z,,,2025-01-10T08:27:52.585Z,2025-01-10T08:31:22.078Z,2025-01-10T08:31:22.078Z,,2025-01-10T09:41:03.495Z,,public,44.2,44.2,0,0,10jan-p3-medium-33-sh02-timeout-due-to-a-rule-engine-delay,https://slack.com/app_redirect?team=T03SMJWS8&channel=C088FUXDWE5,Reported by Snothile Dlamini,true
31,Full Outage of Mastercard Transactions for BOJ ,Service Incident,Closed,P1,"There was a full outage of MC transactions from 11:32 UTC 9th Jan till 11:42 UTC 9th Jan for BOJ. As of 11:42 UTC on 9th Jan we are processing as expected. To restore service, Advanced Support team restarted PayRoute instances. Root cause investigation is in progress. ",Snothile Dlamini,Kaisar Mahmood,,,,Banking.Live,Bank of Jordan,Advanced Support team restarted PayRoute instances,Full outage of Mastercard transactions for BOJ for 10 mins ,Paymentology,,,,,,,,,,,,2025-01-09T11:53:30.478Z,2025-01-09T11:53:30.478Z,,,,,2025-01-09T12:06:58.051Z,2025-01-09T03:32:00.000Z,2025-01-09T12:06:58.051Z,,,,2025-01-09T12:06:58.051Z,807,2025-01-09T12:10:09.567Z,,public,262.8,206.2,56.6,0,09jan-p1-critical-31-full-outage-of-mastercard-transactions-for-boj,https://slack.com/app_redirect?team=T03SMJWS8&channel=C087Y38BQFL,Reported by Kaisar Mahmood,false
32,Partial Outage of Transaction processing for DoPay,Service Incident,Closed,P1,"On 09 Dec 18:35 UTC, the Paymentology support team received an alert from the internal monitoring system that Paymentology was not receiving a response from the AFS (American Financial Services) scheme. The AFS PayRoute application was restarted, and new transactions were observed from 09 Dec 19:06 onwards.",Vicnesh Baskar,Vicnesh Baskar,,,,,Dopay LLC,AFS PayRoute application was restarted,,Third-Party - Client,,,,,,,,,,,,2025-01-10T07:34:26.223Z,2025-01-10T07:34:26.223Z,,,,,2025-01-09T11:06:00.000Z,2025-01-09T10:35:00.000Z,2025-01-09T10:35:00.000Z,2025-10-09T11:05:00.000Z,,,,,2026-02-02T10:34:12.560Z,,public,128.9,102.5,26.4,0,10jan-p1-32-partial-outage-of-transaction-processing-for-dopay,https://slack.com/app_redirect?team=T03SMJWS8&channel=C087NGLJ0B1,Reported by Vicnesh Baskar,false
34,Create Card Stack Issue for MOX ,Service Incident,Closed,P1,Issue resolved at 14:01 UTC on 10th January 2025 after Advanced Support team manually increased the card stack size/limit. In total 26 create card requests were impacted. Monitoring and root cause investigation in progress.,Daniel Velado,Kaisar Mahmood,,,,Banking.Live,MOX,Advanced Support manually increased the card stack size/limit,Create card issue for one product - in total 26 requests were impacted. ,Paymentology,,,,,,,,,,,,2025-01-10T14:09:44.334Z,2025-01-10T14:09:44.334Z,,,,,2025-01-10T14:39:56.352Z,2025-01-10T05:47:00.000Z,2025-01-10T14:39:56.352Z,,,,2025-01-10T14:39:56.352Z,1812,2025-01-10T16:09:32.977Z,,public,410.5,225.4,136.2,48.9,10jan-p1-critical-34-create-card-stack-issue-for-mox,https://slack.com/app_redirect?team=T03SMJWS8&channel=C087Y49LMUN,Reported by Kaisar Mahmood,false
35,PayRoute disconnection from UAE Switch,Service Incident,Closed,P1,"On January 10, from 22:38 to 22:56 UTC, a disconnection occurred between Payroute and the UAE Switch, impacting transaction processing during this period. Although the connection has since been restored and transactions are now processing normally, the exact number of impacted transactions remains unclear due to a lack of advisements. The issue has been escalated as a P1 incident, and investigations are underway with the infrastructure and tooling teams to determine the root cause and prevent recurrence. A Zendesk ticket (#898181) has been created for tracking, and the client has been informed that updates will be provided as more information becomes available.",Snothile Dlamini,Snothile Dlamini,,,,Banking.Live,Wio,,No advisements received for UAE,Third-Party - Client,,,,,,,,,,,,2025-01-11T06:42:11.466Z,2025-01-10T23:36:00.000Z,,,,,2025-01-10T20:56:00.000Z,2025-01-10T20:34:00.000Z,2025-01-11T06:44:47.968Z,,,,2025-01-11T06:44:47.968Z,,2026-02-02T10:35:20.804Z,,public,231.3,152,69.3,10,11jan-p1-35-payroute-disconnection-from-uae-switch,https://slack.com/app_redirect?team=T03SMJWS8&channel=C088LRV3473,Reported by Snothile Dlamini,false
